Ion	Class	wav0	strength	blue cont	red cont	comment
N II	P	4607.16	4	1	1	blend [Fe III], O II
N II	P	4630.54	4	1	0	
O II	P	4641.81	4	1	0	blend N III
O II	P	4650.00	4	1	0	blend 4649.13,50.84
[Fe III]	M	4658.10	3	0	1	
O II	P	4676.24	5	1	1	blend with 4673.73
He II	A9	4685.68	-4	1	1	absorption line
[Fe III]	M	4701.62	4	1	1	
He I	H	4713.14	3	1	1	blend with [Ar IV] 4711.37
[Fe III]	M	4733.93	4	1	0	
[Ar IV]	U	4740.17	4	0	1	
[Fe III]	M	4754.83	4	1	1	
[Fe III]	M	4769.6	4	0	1	
[Fe III]	M	4777.88	4	0	1	blend with [Fe II] 4774.74
N II	P	4803.287	4	1	1	
[Fe II]	L	4814.534	4	1	1	blend N II, S II
H I	H	4861.32	1	1	1	
[Fe III]	M	4881.073	4	1	1	
[Fe II]	L	4889.704	5	0	1	
[Fe II]	L	4905.339	5	1	1	
He I	H	4921.93	3	1	1	
[Fe III]	M	4930.50	4	0	1	blend with [O III] 4931.32
[O III]	H	4958.91	1	1	1	
[O III]	H	5006.84	1	1	1	
He I	H	5015.68	3	0	1	
Si II	P	5041.03	4	1	0	
He I	H	5047.74	4	0	1	No good cont!
Si II	P	5055.98	4	0	1	
O I	L	5146.61	5	1	1	
[Fe II]	L	5158.81	5	1	1	
[Ar III]	H	5191.82	4	1	0	
[N I]	L	5199.00	4	0	1	Blend 5197.98,200.26
S III	P	5219.31	6	0	1	*Also something 5210
[Fe II]	L	5261.61	4	1	0	
[Fe III]	M	5270.40	3	0	1	
O I	L	5298.89	5	1	1	
[Fe II]	L	5333.646	5	1	1	
[Fe II]	L	5376.452	5	1	1	
[Fe III]	M	5412.00	5	1	1	+ He II abs
O II	P	5433.49	6	1	1	
S II	P	5453.81	6	1	1	
[Cl III]	H	5517.71	3	0	1	O I 5512.77
[Cl III]	H	5537.88	3	1	1	
N II	P	5551.95	6	1	0	
O I	L	5555.03	5	0	1	
[O I]	L	5577.34	4	1	1	Sky contamination
O III	A7	5592.37	-5	1	1	Absorption line
N II	P	5666.629	5	1	1	
N II	P	5679.558	5	1	1	
Si III	U	5739.73	5	1	1	
