T([S III])	T1	T2	T3
5098.0392156862745	0.0	0.0	0.0
5294.117647058823	0.0	0.0	0.0
5490.196078431372	0.0	0.0	0.0
5686.274509803921	0.0	0.0	0.0
5882.35294117647	0.0	0.0	0.0
6078.431372549019	0.0	0.0	0.0
6274.509803921568	0.0	0.0	0.0
6470.588235294118	0.0	0.0	0.0
6666.666666666667	0.0	0.0	0.0
6862.745098039216	0.0	0.0	0.0
7058.823529411765	0.0	0.0	0.0
7254.901960784314	0.0	0.0	0.0
7450.980392156863	0.0	0.0	0.0
7647.058823529413	0.0	0.0	0.0
7843.137254901962	168021216.125	0.0	0.0
8039.2156862745105	8009586312.8125	0.0	0.0
8235.29411764706	35102866012.3125	2324308865.875	0.0
8431.372549019608	24915448766.25	22383869398.25	0.0
8627.450980392157	1290154414.5	32663804943.25	9708458007.75
8823.529411764706	0.0	12978864949.25	40743550240.25
9019.607843137255	0.0	1028384154.5	18887779603.25
9215.686274509804	0.0	0.0	0.0
9411.764705882353	0.0	0.0	0.0
9607.843137254902	0.0	0.0	0.0
9803.921568627451	0.0	0.0	0.0
10000.0	0.0	0.0	0.0
10196.078431372549	0.0	0.0	0.0
10392.1568627451	0.0	0.0	0.0
10588.235294117649	0.0	0.0	0.0
10784.313725490198	0.0	0.0	0.0
10980.392156862747	0.0	0.0	0.0
11176.470588235296	0.0	0.0	0.0
11372.549019607844	0.0	0.0	0.0
11568.627450980393	0.0	0.0	0.0
11764.705882352942	0.0	0.0	0.0
11960.784313725491	0.0	0.0	0.0
12156.86274509804	0.0	0.0	0.0
12352.94117647059	0.0	0.0	0.0
12549.019607843138	0.0	0.0	0.0
12745.098039215687	0.0	0.0	0.0
12941.176470588236	0.0	0.0	0.0
13137.254901960785	0.0	0.0	0.0
13333.333333333334	0.0	0.0	0.0
13529.411764705883	0.0	0.0	0.0
13725.490196078432	0.0	0.0	0.0
13921.56862745098	0.0	0.0	0.0
14117.64705882353	0.0	0.0	0.0
14313.725490196079	0.0	0.0	0.0
14509.803921568628	0.0	0.0	0.0
14705.882352941177	0.0	0.0	0.0
14901.960784313726	0.0	0.0	0.0
