T([S III])	T1	T2	T3
5098.0392156862745	28467032.65185547	0.0	0.0
5294.117647058823	27506324.733642578	0.0	0.0
5490.196078431372	66750821.26513672	0.0	0.0
5686.274509803921	73245417.42919922	0.0	0.0
5882.35294117647	90308070.45605469	0.0	0.0
6078.431372549019	159007268.94140625	0.0	0.0
6274.509803921568	198105150.26220703	47712419.2109375	0.0
6470.588235294118	342479094.0151367	0.0	0.0
6666.666666666667	750272771.4360352	0.0	0.0
6862.745098039216	1496315505.734375	0.0	0.0
7058.823529411765	3610979267.300293	0.0	60312595.90625
7254.901960784314	8254388832.624268	207423349.2265625	39920849.875
7450.980392156863	18815376536.779053	361362008.73828125	86208131.4296875
7647.058823529413	41742226824.52783	3266464048.34375	451075758.125
7843.137254901962	82821840359.71729	25662215507.91797	5026851436.28125
8039.2156862745105	150129012547.51343	114867382270.5625	40969566170.74219
8235.29411764706	187011550014.48267	236244372138.29297	159302717091.20312
8431.372549019608	110038900429.67749	199414387968.73047	213123919863.03125
8627.450980392157	30040869981.98181	70201742570.13281	136672248420.46875
8823.529411764706	5459912211.503906	11064017998.484375	63284190366.71094
9019.607843137255	1312662767.1569824	1464233868.546875	16594687484.953125
9215.686274509804	635533005.59375	200224365.25	2916373541.7109375
9411.764705882353	376770499.2036133	84520404.59375	1143256794.5
9607.843137254902	179945108.70825195	79889101.8671875	699987164.671875
9803.921568627451	135688630.5205078	211142732.296875	655519435.03125
10000.0	66727269.15185547	94224482.40625	606270346.0
10196.078431372549	44771839.439453125	64841029.78125	375208261.6875
10392.1568627451	21360717.48486328	31823765.875	35309720.75
10588.235294117649	24669911.690429688	0.0	300622559.84375
10784.313725490198	25996532.149414062	32545338.40625	442369015.796875
10980.392156862747	22930573.482421875	0.0	115185153.59375
11176.470588235296	2366330.580078125	0.0	260769207.375
11372.549019607844	6857123.579589844	0.0	198805735.140625
11568.627450980393	15886924.765625	0.0	234460792.375
11764.705882352942	0.0	0.0	122153618.078125
11960.784313725491	3152285.8515625	0.0	0.0
12156.86274509804	0.0	0.0	39744958.15625
12352.94117647059	0.0	0.0	0.0
12549.019607843138	13885627.2421875	0.0	139685282.75
12745.098039215687	0.0	0.0	134973199.0625
12941.176470588236	0.0	0.0	0.0
13137.254901960785	11550638.3359375	0.0	0.0
13333.333333333334	0.0	0.0	0.0
13529.411764705883	0.0	0.0	0.0
13725.490196078432	0.0	0.0	0.0
13921.56862745098	0.0	0.0	0.0
14117.64705882353	5198366.2421875	0.0	0.0
14313.725490196079	0.0	0.0	0.0
14509.803921568628	0.0	0.0	0.0
14705.882352941177	0.0	0.0	0.0
14901.960784313726	0.0	0.0	0.0
