T([S III])	T1	T2	T3
5098.0392156862745	0.0	0.0	0.0
5294.117647058823	0.0	0.0	3820431.45703125
5490.196078431372	0.0	0.0	0.0
5686.274509803921	0.0	2524608.58203125	0.0
5882.35294117647	0.0	3402317.2197265625	0.0
6078.431372549019	0.0	0.0	0.0
6274.509803921568	2631882.9377441406	0.0	0.0
6470.588235294118	8158826.169189453	1752499.0234375	0.0
6666.666666666667	14123716.227050781	0.0	0.0
6862.745098039216	63490100.700927734	3676502.6000976562	0.0
7058.823529411765	128347659.00793457	15162598.598632812	0.0
7254.901960784314	357088919.43688965	42567913.990722656	0.0
7450.980392156863	801834003.340332	167777467.45483398	9556806.658203125
7647.058823529413	1582409716.261963	446852100.7453613	27810352.401367188
7843.137254901962	2602328042.2452393	1013213317.6574707	161744010.89746094
8039.2156862745105	3449792523.2973633	1845603136.4138184	467799191.77734375
8235.29411764706	3969140768.03479	3071433507.114624	1110035698.262207
8431.372549019608	3555462277.607544	4036032407.359375	2217788495.845703
8627.450980392157	2717984345.1933594	4420146068.823975	3976351694.775879
8823.529411764706	1653289519.1745605	3959891188.368164	5326757528.733398
9019.607843137255	866694956.3789062	2306140759.4504395	4667066601.072266
9215.686274509804	394557270.9416504	1151470346.0976562	2964978574.1523438
9411.764705882353	177679478.64562988	455596731.69921875	1158094313.2021484
9607.843137254902	53007260.783203125	113589750.11035156	283699287.73583984
9803.921568627451	10395939.51953125	32923291.365234375	41893781.546875
10000.0	12739912.892089844	6063952.453125	6861272.955078125
10196.078431372549	0.0	0.0	0.0
10392.1568627451	0.0	0.0	0.0
10588.235294117649	0.0	0.0	0.0
10784.313725490198	0.0	2104446.7431640625	0.0
10980.392156862747	0.0	2073510.7333984375	0.0
11176.470588235296	0.0	0.0	0.0
11372.549019607844	0.0	0.0	0.0
11568.627450980393	0.0	0.0	0.0
11764.705882352942	0.0	0.0	0.0
11960.784313725491	0.0	0.0	0.0
12156.86274509804	0.0	0.0	0.0
12352.94117647059	0.0	0.0	0.0
12549.019607843138	0.0	0.0	0.0
12745.098039215687	0.0	0.0	0.0
12941.176470588236	0.0	0.0	0.0
13137.254901960785	0.0	0.0	0.0
13333.333333333334	0.0	0.0	0.0
13529.411764705883	0.0	0.0	0.0
13725.490196078432	0.0	0.0	0.0
13921.56862745098	0.0	0.0	0.0
14117.64705882353	0.0	0.0	0.0
14313.725490196079	0.0	0.0	0.0
14509.803921568628	0.0	0.0	0.0
14705.882352941177	0.0	0.0	0.0
14901.960784313726	0.0	0.0	0.0
