T([N II])	T1	T2	T3
5098.0392156862745	0.0	0.0	0.0
5294.117647058823	0.0	0.0	0.0
5490.196078431372	0.0	0.0	0.0
5686.274509803921	2985331.671875	0.0	0.0
5882.35294117647	7646098.015625	0.0	0.0
6078.431372549019	9116599.6875	0.0	0.0
6274.509803921568	3860867.5	0.0	0.0
6470.588235294118	7879018.1875	0.0	0.0
6666.666666666667	0.0	0.0	0.0
6862.745098039216	15142680.65625	0.0	0.0
7058.823529411765	78979172.359375	0.0	0.0
7254.901960784314	54775702.0625	0.0	0.0
7450.980392156863	99437183.25	0.0	0.0
7647.058823529413	131386985.359375	0.0	0.0
7843.137254901962	221507067.5546875	0.0	0.0
8039.2156862745105	386160573.515625	0.0	0.0
8235.29411764706	630759646.921875	14393687.0	0.0
8431.372549019608	1008254683.9648438	29476913.28125	0.0
8627.450980392157	1364064945.4375	42887383.8125	0.0
8823.529411764706	1894438524.3515625	117197899.28125	0.0
9019.607843137255	2679390121.4140625	352628180.6171875	31140317.0625
9215.686274509804	3354906527.8945312	658998251.1484375	18643973.6875
9411.764705882353	4282366333.78125	1218268247.78125	75819097.5625
9607.843137254902	4392640823.597656	2105974112.28125	249660612.625
9803.921568627451	4481152218.7109375	3464498789.765625	1133978078.953125
10000.0	3942188678.3828125	4655072635.46875	1740819677.34375
10196.078431372549	3052152331.0078125	5713472327.8828125	3149589480.578125
10392.1568627451	2436106610.7578125	5779987064.1015625	3571650380.78125
10588.235294117649	1663387167.1992188	5016930039.765625	4069110512.46875
10784.313725490198	940379022.1210938	4099090770.3203125	4776363556.40625
10980.392156862747	731654446.2578125	2890848145.1953125	4498143580.84375
11176.470588235296	386091667.515625	1603285363.328125	3697294143.671875
11372.549019607844	171233750.046875	881036080.96875	3088284471.59375
11568.627450980393	93118623.2890625	436448796.53125	2742223694.9375
11764.705882352942	34087626.1875	246459169.1328125	1689105908.703125
11960.784313725491	17573168.1875	162168145.21875	1444794458.5625
12156.86274509804	8997733.703125	45751318.71875	956236959.125
12352.94117647059	4270841.9375	69603029.0625	704006893.796875
12549.019607843138	8914873.625	63426705.03125	339895486.9375
12745.098039215687	9113694.984375	24122498.125	278175063.1875
12941.176470588236	0.0	28324223.8125	141544281.125
13137.254901960785	0.0	14983348.75	62990130.5
13333.333333333334	0.0	27543145.125	63394701.3125
13529.411764705883	0.0	0.0	36806003.9375
13725.490196078432	0.0	14852169.8125	30977138.1875
13921.56862745098	0.0	0.0	0.0
14117.64705882353	0.0	0.0	0.0
14313.725490196079	0.0	0.0	0.0
14509.803921568628	0.0	0.0	0.0
14705.882352941177	0.0	0.0	0.0
14901.960784313726	0.0	0.0	0.0
