log10[ N([Cl III]) ]	T1	T2	T3
2.0294117647058822	184196019.671875	39298181.75	29142767.875
2.0882352941176467	192025104.65820312	56771339.671875	25659108.421875
2.1470588235294117	150419580.3046875	93562079.796875	45871848.375
2.2058823529411766	259560108.35546875	72136292.609375	36720406.25
2.264705882352941	301016012.5625	122874821.921875	27165148.875
2.3235294117647056	312419017.86328125	152348411.28125	102818101.671875
2.3823529411764706	413009203.0546875	197471886.84375	30715718.8125
2.4411764705882355	433796987.65234375	212198109.21875	46467149.46875
2.5	507582097.5859375	238614405.390625	100621296.171875
2.5588235294117645	633758163.2382812	247907495.796875	86964529.25
2.6176470588235294	668767443.4921875	208511516.34375	93489200.875
2.6764705882352944	809521427.7382812	383221692.453125	110766858.546875
2.735294117647059	928829996.6738281	439282406.421875	178378109.34375
2.7941176470588234	1045768183.6953125	465728706.375	179140860.5625
2.852941176470588	1226694222.2460938	614326449.1015625	248277540.96875
2.9117647058823533	1296279489.984375	737240629.8984375	287336299.609375
2.9705882352941178	1616481305.8535156	801336384.078125	282120213.40625
3.0294117647058822	1827337236.5039062	1036100334.734375	545109203.671875
3.0882352941176467	2149989082.470703	1373851287.65625	579203722.90625
3.147058823529412	2548920078.8671875	1590848890.765625	652580906.265625
3.2058823529411766	2771352967.5878906	2219466252.6640625	1038125732.859375
3.264705882352941	3307872528.428711	2472506647.3125	1510935181.140625
3.3235294117647056	3341019239.4960938	3059103268.5234375	1740537033.03125
3.3823529411764706	3651031926.4179688	3996603603.6328125	2694264888.3125
3.4411764705882355	3810952297.498047	4730061580.6640625	3450612104.71875
3.5	3962493786.9765625	5484614485.140625	4451950526.0
3.5588235294117645	3763014641.423828	5896216251.03125	5363512964.328125
3.617647058823529	3815662385.515625	5681268844.46875	6574488272.65625
3.6764705882352944	3543214090.1464844	5115747672.3984375	6372621666.859375
3.735294117647059	2975381380.8847656	4678970734.5	6421796067.0
3.7941176470588234	2661028615.9375	4067797383.1484375	4880619943.6015625
3.852941176470588	2150084182.375	3063732733.2421875	4423544604.8203125
3.9117647058823533	1633299387.1992188	2592600405.1445312	3334829548.828125
3.9705882352941178	1302472210.0976562	1681137710.171875	2338341174.609375
4.029411764705882	946373536.890625	1036150321.34375	2084276181.34375
4.088235294117647	666513682.5693359	641801164.484375	1458562685.046875
4.147058823529411	630760096.1445312	399506100.75	1096809695.078125
4.205882352941176	423888034.76464844	213742310.3046875	749265776.8007812
4.264705882352941	335886101.796875	123625779.578125	417730636.4765625
4.3235294117647065	281807638.8491211	75801882.53125	212650026.40625
4.382352941176471	216536664.40039062	71709772.8828125	78043188.375
4.4411764705882355	185563458.578125	58824261.0234375	48799971.1484375
4.5	142352760.95703125	18800170.0546875	52059924.4765625
4.5588235294117645	133902801.53222656	6473716.8984375	51729357.40625
4.617647058823529	107119409.27539062	12544182.53125	19093179.546875
4.6764705882352935	100874870.69433594	12420433.46875	10490101.25
4.735294117647059	69197266.2265625	19707561.375	0.0
4.794117647058823	60523385.6328125	6416389.84375	0.0
4.852941176470589	37652434.384765625	13327382.328125	8139479.921875
4.911764705882353	26247218.588867188	0.0	0.0
4.970588235294118	27585444.16796875	5925155.2890625	10216723.109375
