Count	Y Upper Quartile	X Mean	Y Std	Y Mean	X Center	Y Lower Quartile	Y Median
7	-378.3332949524745	2.8095906802983857	1659.5750298254625	-1406.3382509396067	2.8075630150895257	-2654.9305296939892	-1925.822119676105
15	-1388.6020024450959	2.8690559254937047	2439.2207977461553	-1998.6548531842695	2.8663865445012906	-3672.565862598726	-2269.2387543617815
21	-2619.8020180837466	2.9242016041083367	1239.6119429966493	-2824.2975469912208	2.925210073913055	-3535.0709519542743	-3377.027630113059
16	-1929.8553113301425	2.9864736144133213	1405.0969253988467	-2306.268627416651	2.9840336033248196	-3163.8679726994324	-2561.3935418019373
21	-1309.7030445316404	3.039929150839654	1259.8808844415735	-2028.0948114961873	3.0428571327365845	-2902.8477638882823	-2309.84399382846
33	-1211.5934886803416	3.1062272162458764	1471.3346864660957	-2214.4468347825155	3.1016806621483495	-3181.6064620370794	-2326.171974426249
40	-1164.8895329502695	3.164365681238899	1875.5876024247227	-1629.3331109832384	3.160504191560114	-2690.7869804117217	-2056.3614788433615
50	-1111.9441894434021	3.223643932692543	1542.754460265999	-2059.7635181964088	3.2193277209718785	-3138.454731750788	-2352.5907812213854
64	-999.8118890094474	3.2780819331352955	1334.6571074520714	-1769.8827606481823	3.2781512503836434	-2467.794373707823	-1933.8936805190615
72	-627.9327999081568	3.3413967857511455	1547.6982280576706	-1379.508742827156	3.3369747797954084	-2339.475787819132	-1649.7536309291677
108	-1191.0659323021393	3.393681569159036	1259.2816634348867	-1582.0827428326945	3.395798309207173	-2278.0343208659037	-1783.5948635533232
118	-835.518426378366	3.4542830561837388	1272.9155162640054	-1282.0191598983997	3.4546218386189373	-2095.6206412774227	-1398.840346353426
174	-390.39541023894776	3.516811792017591	1187.6811872368655	-1040.6859951677554	3.5134453680307023	-1775.6183890875288	-1095.9636236832248
261	-580.5686285157517	3.5735949931180317	900.2285372108754	-1094.0569294930126	3.5722688974424672	-1634.5759365650074	-1165.9260860960394
284	-214.94440046893305	3.6331438987850726	978.0004208302231	-795.769682012676	3.6310924268542317	-1461.4654533687487	-888.8315969110058
445	-165.5250459528006	3.6912375553598107	930.9065287232891	-753.0528713170672	3.689915956265996	-1357.452028030205	-822.0753042853648
597	-122.5337963563934	3.7508437752127746	934.6944108083994	-635.9463365297563	3.748739485677761	-1273.6711826400096	-715.9117209711549
811	-21.114803787726487	3.8101415060364094	826.9349792119671	-550.3585037033149	3.807563015089526	-1109.6336248346583	-577.9455665003288
1123	-23.113718969170804	3.8679706871726345	839.9898570516069	-498.133008839044	3.8663865445012906	-1038.5561416026057	-527.5649589085624
1625	159.83235068977956	3.9276275101150597	795.7180701074828	-311.10950452671693	3.925210073913055	-830.9699394101772	-343.6328458659191
2226	188.60935676345798	3.9853508077158537	754.4416437064197	-254.3438223056657	3.9840336033248196	-761.1508737658974	-297.96012621651516
2847	284.8950670503973	4.044065470407624	737.7068275260868	-174.00000773063658	4.042857132736584	-657.3751389692452	-218.48007278081423
3590	388.58308152637346	4.102211994062976	726.3491623096368	-76.73294726177306	4.1016806621483495	-549.3035952350665	-84.04729551367745
4116	452.60932136835163	4.161070800683163	705.6920806558943	16.26571285645854	4.160504191560114	-455.36945124239173	-15.393652680475498
4553	504.3434192647819	4.219477229795906	694.4785586329435	78.14384421768175	4.219327720971879	-380.7571353759686	40.851308966606666
4305	580.591400139936	4.278146800550057	690.7726622554214	155.68871346739695	4.278151250383644	-289.4866503097837	122.19023457286858
3990	592.0530657321651	4.336122014591148	668.5186230367558	172.57175490600775	4.336974779795408	-283.51389821569046	140.05562074524278
3295	573.118920194318	4.3953597994790865	674.6803250233892	194.24878423708623	4.395798309207173	-233.20120477752334	150.63620282644115
2971	495.88848484625214	4.4541349870596685	643.0331578268487	139.85036083609754	4.454621838618937	-283.5720520885825	98.60901757673673
2492	435.12946241848704	4.512903452573266	569.4911789649999	87.34256617676589	4.513445368030702	-289.37388083710584	59.86608991946105
2205	396.081722476687	4.57144189138395	547.4082210678542	90.4017192273925	4.572268897442467	-247.3996182268329	80.25518686532814
1823	350.7287584907772	4.630269192385924	515.5720898958552	44.49086930336494	4.631092426854232	-282.9233067190198	45.56705281963514
1628	312.95921707834304	4.688921663569552	534.8683954611863	7.734470829821008	4.689915956265997	-269.6449412503662	17.90258144128802
1641	287.05711389815224	4.74861316655995	537.0899942084728	-14.28528751005588	4.748739485677762	-283.283079289291	6.280874575095368
1643	252.4649597714706	4.808033697099136	497.524320550462	-5.828545427200678	4.807563015089526	-245.92149372541007	10.111820141284625
1551	252.76809515371042	4.866035071112719	490.6794274774663	-8.783641417261553	4.866386544501291	-230.39346221628148	22.372606300654297
1466	276.6856353079752	4.925622738971353	656.5104442268237	-55.64651679845789	4.925210073913055	-296.2684636259428	10.060317328857309
1336	293.7331184552745	4.983116092707476	641.1581122277329	-39.94934431817523	4.98403360332482	-293.7768860490987	5.440686688524693
1004	305.6500790088635	5.0414416412707	672.8817982487149	-50.95696374819879	5.042857132736584	-290.0173730305751	31.0419882568076
713	310.8002759738356	5.100259893378183	759.8937764219787	-42.36023997355425	5.1016806621483495	-295.7370054214316	38.743498227171585
499	337.9236959619948	5.1590184894959865	868.7330457528542	-69.45685215521354	5.160504191560115	-318.01069136518254	-4.977650069942683
300	371.27403015188975	5.216137437551782	967.9115797822216	-69.41353687408157	5.219327720971879	-262.5433197707821	67.3327397705716
81	370.28796921688263	5.272188527296274	805.7045430846831	-18.804998153930086	5.278151250383644	-310.4073852051624	66.7228435959587
28	594.7039228769604	5.329390108740562	982.4330674348031	-79.92012546430588	5.336974779795408	-665.4898183949654	-158.91212211538004
11	551.693431921688	5.385795776337367	824.6182734758338	328.0622094465827	5.395798309207173	-174.12321341645838	7.434020731741839
0	nan	nan	nan	nan	5.454621838618937	nan	nan
0	nan	nan	nan	nan	5.513445368030702	nan	nan
0	nan	nan	nan	nan	5.572268897442467	nan	nan
0	nan	nan	nan	nan	5.631092426854233	nan	nan
0	nan	nan	nan	nan	5.689915956265997	nan	nan
0	nan	nan	nan	nan	5.748739485677762	nan	nan
