T([N II])	T1	T2	T3
5098.0392156862745	0.0	0.0	0.0
5294.117647058823	0.0	0.0	0.0
5490.196078431372	0.0	0.0	0.0
5686.274509803921	0.0	0.0	0.0
5882.35294117647	0.0	0.0	0.0
6078.431372549019	0.0	0.0	0.0
6274.509803921568	0.0	0.0	0.0
6470.588235294118	0.0	0.0	0.0
6666.666666666667	0.0	0.0	0.0
6862.745098039216	0.0	0.0	0.0
7058.823529411765	0.0	0.0	0.0
7254.901960784314	0.0	0.0	0.0
7450.980392156863	0.0	0.0	0.0
7647.058823529413	0.0	0.0	0.0
7843.137254901962	9801236411.0	0.0	0.0
8039.2156862745105	65841688504.0	8610325820.0	0.0
8235.29411764706	63938640850.5	18132115778.0	0.0
8431.372549019608	46477140532.5	8945870376.0	0.0
8627.450980392157	87372567739.5	51736767728.0	7638715800.0
8823.529411764706	170001476836.0	11303008748.0	23574293312.0
9019.607843137255	181061641599.25	117608255104.0	124792901184.0
9215.686274509804	110400495256.5	203247159036.0	133018958928.0
9411.764705882353	42598781900.5	138475831124.0	55528164648.0
9607.843137254902	19686547322.0	145002271608.0	107898080920.0
9803.921568627451	6784192984.0	59209112288.0	28330352728.0
10000.0	0.0	35760140808.0	79578712336.0
10196.078431372549	0.0	6384802440.0	59294390272.0
10392.1568627451	0.0	11848554592.0	36757518184.0
10588.235294117649	0.0	5662029520.0	50175487056.0
10784.313725490198	0.0	0.0	24968460080.0
10980.392156862747	0.0	0.0	23259470528.0
11176.470588235296	0.0	0.0	24467028512.0
11372.549019607844	0.0	0.0	19971521504.0
11568.627450980393	0.0	0.0	0.0
11764.705882352942	0.0	0.0	0.0
11960.784313725491	0.0	0.0	0.0
12156.86274509804	0.0	0.0	0.0
12352.94117647059	0.0	0.0	0.0
12549.019607843138	0.0	0.0	0.0
12745.098039215687	0.0	0.0	0.0
12941.176470588236	0.0	0.0	0.0
13137.254901960785	0.0	0.0	0.0
13333.333333333334	0.0	0.0	0.0
13529.411764705883	0.0	0.0	0.0
13725.490196078432	0.0	0.0	0.0
13921.56862745098	0.0	0.0	0.0
14117.64705882353	0.0	0.0	0.0
14313.725490196079	0.0	0.0	0.0
14509.803921568628	0.0	0.0	0.0
14705.882352941177	0.0	0.0	0.0
14901.960784313726	0.0	0.0	0.0
