T([N II])	T1	T2	T3
5098.0392156862745	0.0	0.0	0.0
5294.117647058823	0.0	0.0	0.0
5490.196078431372	0.0	0.0	0.0
5686.274509803921	2776237.1923828125	0.0	0.0
5882.35294117647	7135396.6767578125	0.0	0.0
6078.431372549019	8496318.666015625	0.0	0.0
6274.509803921568	3567991.7646484375	0.0	0.0
6470.588235294118	7343602.1796875	0.0	0.0
6666.666666666667	0.0	0.0	0.0
6862.745098039216	14097796.243164062	0.0	0.0
7058.823529411765	73789633.06152344	0.0	0.0
7254.901960784314	51279228.484375	0.0	0.0
7450.980392156863	93139497.55761719	0.0	0.0
7647.058823529413	123292713.47265625	0.0	0.0
7843.137254901962	207726575.69384766	0.0	0.0
8039.2156862745105	362659240.59765625	0.0	0.0
8235.29411764706	592921070.6772461	13635043.6796875	0.0
8431.372549019608	956469815.0141602	21828090.984375	0.0
8627.450980392157	1294221585.208496	34614207.12109375	0.0
8823.529411764706	1822382746.2319336	80482301.23632812	0.0
9019.607843137255	2588651424.9052734	283156284.6875	30760253.25
9215.686274509804	3235291180.166504	574180266.1425781	18429297.0
9411.764705882353	4110709095.817383	1120793575.0332031	74755032.2109375
9607.843137254902	4273469870.4453125	1938212122.8535156	228304543.765625
9803.921568627451	4344398508.286133	3349791426.8808594	1014597600.671875
10000.0	3810544991.129883	4482065077.478516	1651337285.2421875
10196.078431372549	3006888335.790039	5525115829.511719	2984247422.7617188
10392.1568627451	2381707951.555664	5649963651.482422	3393472188.3671875
10588.235294117649	1643923460.2539062	4845370521.259766	3965970451.65625
10784.313725490198	911169617.2929688	4120494831.2226562	4548360571.921875
10980.392156862747	706627850.8496094	2857424762.6621094	4386837177.2109375
11176.470588235296	375300227.97265625	1575147269.046875	3629258654.7109375
11372.549019607844	164111121.21484375	861401895.7460938	3049196267.421875
11568.627450980393	89186705.2265625	426746167.5625	2708543311.0390625
11764.705882352942	32613968.6484375	241183277.609375	1670754293.921875
11960.784313725491	16803097.685546875	158916676.96875	1429774466.84375
12156.86274509804	8575392.94921875	44691571.609375	945426539.9375
12352.94117647059	4064604.75	68354936.9375	695772121.328125
12549.019607843138	8481397.5703125	62218751.921875	336735768.625
12745.098039215687	8778236.515625	38521421.25	261108977.21875
12941.176470588236	0.0	27826051.40625	140552503.40625
13137.254901960785	0.0	14728629.65625	62568814.0625
13333.333333333334	0.0	27087523.46875	62929734.4375
13529.411764705883	0.0	0.0	36361609.6875
13725.490196078432	0.0	29491736.75	15627091.28125
13921.56862745098	0.0	0.0	0.0
14117.64705882353	0.0	0.0	0.0
14313.725490196079	0.0	0.0	0.0
14509.803921568628	0.0	0.0	0.0
14705.882352941177	0.0	0.0	0.0
14901.960784313726	0.0	0.0	0.0
