[Cl III] log10 (N' / N)	T1	T2	T3
-1.4705882352941178	251324740.07333878	83180452.89149731	29960050.764564715
-1.4117647058823528	278625777.3294695	87787574.28056625	29754035.143064193
-1.3529411764705883	309634084.96646404	119589119.4155528	34442811.35132491
-1.2941176470588234	337098068.2297611	151685844.55227888	60229015.9804603
-1.2352941176470589	365472340.00758	150625735.192684	78003369.6597211
-1.176470588235294	382059849.54898244	180100961.30834135	53985903.41755171
-1.1176470588235294	401915046.3508806	213173618.82487226	83468959.25306049
-1.0588235294117647	435285592.04315186	218416876.99168473	87155261.76401186
-1.0	457860361.6024384	232719567.8033089	96641676.78897426
-0.9411764705882353	487066331.2523508	285927290.4437033	96101297.01313236
-0.8823529411764706	514387027.29003096	302790538.92945176	115317731.60704182
-0.8235294117647058	553168918.4559858	317431226.81257135	106893608.9410468
-0.7647058823529412	589893049.8779126	335469895.5935901	152723489.52237538
-0.7058823529411765	636474215.4224468	406028224.02837586	179777131.91336215
-0.6470588235294118	711011707.0422139	491543447.0593392	233700070.1009072
-0.5882352941176471	786597056.3109157	571195308.3458575	313396590.30948806
-0.5294117647058824	870183645.0922446	675726614.3585217	445996653.93610007
-0.47058823529411764	966455661.5855576	848347302.2104454	606485539.8235528
-0.4117647058823529	1083648466.6699493	1087092693.7417889	826748943.2376871
-0.3529411764705882	1199819198.9013402	1304523571.3744035	1166500643.1866448
-0.2941176470588235	1343090773.0104332	1629702711.353767	1693837552.093925
-0.23529411764705876	1442106831.3380172	1953408778.7271352	2226474297.0240726
-0.17647058823529405	1579086175.5501885	2286652072.9646378	2853865649.2217083
-0.11764705882352944	1694880656.6581717	2625582269.8186493	3579783566.458393
-0.05882352941176483	1753219647.660576	2928005620.8975377	4044927397.3203554
-1.1102230246251565e-16	1810393844.9334643	3071349521.153173	4152645666.685174
0.05882352941176461	1805067088.69484	3011292763.3947043	3940097462.3542714
0.11764705882352933	1757052073.6436932	2738973858.4096103	3441453823.4612403
0.17647058823529405	1639903241.599535	2510485057.590375	2688180027.254048
0.23529411764705876	1559040725.5422215	2163081586.1289806	1984808339.4405184
0.2941176470588235	1438551776.9299686	1737475979.831537	1360591979.330932
0.3529411764705882	1273426389.0590801	1394764874.5571861	1003337024.6930745
0.4117647058823529	1125408845.0474858	1119872668.9515457	716763986.7420406
0.47058823529411764	1040400877.4298813	862023625.4577407	505780037.7179917
0.5294117647058822	904303935.2555398	676787243.5145048	384307236.56439364
0.588235294117647	788873177.8866308	566613564.858748	252505356.99105918
0.6470588235294117	723925550.6165091	424336505.6218523	205844395.47916853
0.7058823529411764	611807205.4976285	350176411.2389172	152177049.84928048
0.7647058823529411	560317516.6945727	272737605.01792306	93105972.52379297
0.8235294117647058	485909160.78493005	211015981.89636058	75731941.93372908
0.8823529411764706	471712119.06228393	191862152.44744137	55811845.500891425
0.9411764705882353	416247266.4730045	157659113.65437987	43545436.42510739
1.0	377346892.7232752	144822984.0638549	31540995.988207463
1.0588235294117647	359485343.00016654	104531527.53558466	29137656.732973926
1.1176470588235294	332763418.8840757	97295557.08824793	20164751.26218686
1.1764705882352942	303041356.4771133	75026811.73639214	12327331.120702688
1.2352941176470589	278353447.79668367	73386410.6621193	14000365.335589562
1.2941176470588234	253237230.52255446	55433048.322822735	10441753.571711997
1.352941176470588	242618045.96053898	50640560.79715018	6005281.439226579
1.4117647058823528	218299269.66497916	32325594.80777071	6857291.797481328
1.4705882352941175	177808444.76037616	28250136.231308006	2206777.052003972
