[Cl III] log10 (N' / N)	T1	T2	T3
-1.4705882352941178	12380506.736606961	11234848.372120565	4697305.303102119
-1.4117647058823528	13885268.149223376	12054398.327433847	5595761.750263789
-1.3529411764705883	15147252.476787616	12176282.2534577	5298020.576333727
-1.2941176470588234	15642094.895681752	18025863.43989956	5542396.56245555
-1.2352941176470589	17886069.95147741	13417127.85993888	6379987.721126647
-1.176470588235294	19232708.859937962	15358978.272476746	5855128.253104524
-1.1176470588235294	20351278.04181018	16663518.999145355	3304967.75798418
-1.0588235294117647	19896885.619799707	17629911.25348302	10625391.578044241
-1.0	19457388.26087612	20138857.98950731	10145238.262975598
-0.9411764705882353	22095894.93968071	18615293.55763667	12044709.893331515
-0.8823529411764706	23961543.887961827	22728228.185955238	11887884.493704377
-0.8235294117647058	23950108.516600072	23954700.712481707	13461744.028456189
-0.7647058823529412	26088381.98640653	26673045.79316687	22115781.574476223
-0.7058823529411765	29242512.12872274	29997072.86270262	21101733.46703247
-0.6470588235294118	30490610.451677646	31608240.409030892	31415051.59428963
-0.5882352941176471	34354178.65826189	39290108.44635175	37753172.65946701
-0.5294117647058824	41595994.09845745	40804546.88307847	38237092.874418244
-0.47058823529411764	39518578.77380237	47348846.707626835	48654481.85165625
-0.4117647058823529	42052035.3759251	49304551.73596114	58916066.19991296
-0.3529411764705882	46973535.19403017	53292234.96106928	66726251.51403721
-0.2941176470588235	50209089.072525956	62500501.07772873	76265954.399345
-0.23529411764705876	59103456.22404608	67048576.524073474	83197366.29076312
-0.17647058823529405	58523685.06733592	65522141.44306482	89174537.65858114
-0.11764705882352944	60201039.72587321	74344010.46921974	95219661.19970185
-0.05882352941176483	60415425.35714937	74025201.89035103	101175262.39431468
-1.1102230246251565e-16	60490286.977223754	71336132.7882809	102299819.91325484
0.05882352941176461	59234906.60319334	70464221.98775904	100422780.15992221
0.11764705882352933	59308146.788401656	71173297.27334	79966170.35032243
0.17647058823529405	57830666.75218737	61612484.00608315	80911814.93495841
0.23529411764705876	60219575.957897276	62391339.412711404	60629395.728372805
0.2941176470588235	48462481.98671269	57046953.63875453	62553116.094901085
0.3529411764705882	47368561.08571455	49789062.96924783	41409778.6924848
0.4117647058823529	46792048.71948372	49912617.54325786	38365022.078852564
0.47058823529411764	40285665.30000744	41768151.731146485	28606589.02304084
0.5294117647058822	38452222.07461357	36065678.685113564	27712798.906872157
0.588235294117647	33180324.579291236	31168964.63215537	27336539.563277025
0.6470588235294117	31033585.282862004	28951902.19932693	21248612.908404868
0.7058823529411764	24508937.929157022	22811390.034009427	12031120.740153264
0.7647058823529411	24376619.424413193	19244241.03940655	12033276.346436914
0.8235294117647058	19933246.754497197	14850037.163981372	11036633.285981061
0.8823529411764706	18015322.706995096	14953471.066178873	5719502.766775232
0.9411764705882353	17532310.818026792	13521232.44937075	4190438.4552380373
1.0	17351206.607455477	9688935.308169533	4993961.413953279
1.0588235294117647	14055634.30479597	12044605.917210562	3380335.0879210257
1.1176470588235294	14486274.224892661	7635705.178691353	2223270.896716668
1.1764705882352942	11908919.846989818	10799012.224025603	1651212.9853248112
1.2352941176470589	11739583.216105517	6693181.249652788	1552224.1552251135
1.2941176470588234	10621668.504874617	5597531.671793142	660495.6757599952
1.352941176470588	11586879.414779287	4455570.703668424	1272208.2537962575
1.4117647058823528	8991036.580073684	5101622.0941710975	1324764.0801831498
1.4705882352941175	7947909.143460113	3939839.2758334912	245497.23337121907
