[N II] Delta T	T1	T2	T3
-4901.9607843137255	1116894838.6577609	254821184.93129015	61488583.54704495
-4705.882352941177	1205978474.1765604	227731032.99619094	155464267.5780326
-4509.803921568628	1334398688.9624429	248278869.11451578	146829167.5288291
-4313.725490196079	1436284255.6163847	289533894.68590826	89037974.12259285
-4117.64705882353	1576845327.6407547	295645070.7478671	86721957.41511029
-3921.5686274509803	1768975580.6313791	290788373.87480587	108905335.25992066
-3725.490196078431	1968140847.2326913	324040694.0459125	123167392.22905453
-3529.411764705882	2273780633.258655	404226092.9620878	91285111.76765388
-3333.333333333333	2735811900.862188	464557238.3554331	123631750.70170961
-3137.254901960784	3211693398.553123	525374638.2028998	173948176.12918842
-2941.176470588235	3827239699.645466	748796514.2794726	191319892.30468202
-2745.098039215686	4791791231.574938	1002305504.9066445	185688836.03570688
-2549.0196078431372	5692673852.598254	1337641424.067475	293417509.76967514
-2352.9411764705883	7012282508.256019	2008205081.378478	351869018.2592568
-2156.862745098039	8638420898.562737	2898664482.4553213	504730586.6440247
-1960.78431372549	10897859991.628344	4185668898.1232505	810015936.6411729
-1764.705882352941	13508140394.278053	6339162663.417099	1350617341.568924
-1568.627450980392	16524857332.757992	9550891695.251896	2318921500.9797897
-1372.5490196078429	20821496151.314526	14387381408.690836	3883370692.1630507
-1176.4705882352937	25536851450.466763	21763203914.080463	7225181275.212218
-980.3921568627447	30246668667.72827	31239318991.389473	14129351513.2117
-784.3137254901958	36194972946.61041	43345818064.68822	26312579150.59371
-588.2352941176468	41423798450.27841	57850733009.30537	48981099356.93735
-392.1568627450979	46349911837.54345	72431128308.7775	85807890300.06433
-196.07843137254895	50616156590.856575	83262732447.0578	128380664021.56267
0.0	52152947129.0172	88256554592.08766	150347316032.5801
196.0784313725494	52120864029.54985	85274212893.60088	128803945559.94048
392.1568627450988	49857045854.427155	74580182851.82986	83642420253.40118
588.2352941176478	46043861083.30296	60565337662.036	46085130827.95309
784.3137254901967	41557612539.782394	45230554436.42302	23380631053.78633
980.3921568627457	35565865716.38591	31988230695.671535	10816656822.913723
1176.4705882352946	30030356690.7187	21124319947.58284	5086184366.873259
1372.5490196078435	24650813984.49595	13264637921.03911	2366526122.643229
1568.6274509803925	19917907306.060913	8401265171.57661	1157138571.0551522
1764.7058823529414	15928145279.347069	5102604771.818405	510475310.9726069
1960.7843137254904	12900478962.019115	3129712764.7460675	268389639.4115004
2156.8627450980393	10307642552.244923	1932692326.5724492	133510357.05925876
2352.9411764705887	8119456706.635113	1104696464.6314952	85237109.76615514
2549.019607843138	6607249302.514305	725099789.429494	75305469.11774915
2745.098039215687	5225718452.8393	471867400.3171337	45544948.01496365
2941.176470588236	4271567121.332607	312074213.27362764	50513350.69789425
3137.254901960785	3534076580.2865686	243052068.56049103	4176159.4246225925
3333.333333333334	2985505796.154692	194051709.74164	11370846.613207787
3529.411764705883	2465977123.0161424	155851574.65034893	39186907.3364679
3725.490196078432	2114292199.3712564	123693491.34937014	12459245.340055775
3921.568627450981	1768278236.0747015	107831310.08654156	8050249.254486491
4117.64705882353	1561409536.980844	87079289.8023454	11586865.87042664
4313.725490196079	1376473555.8394732	98140237.73745865	16145752.534686025
4509.803921568628	1144683376.7462711	79717419.040115	24978643.12371784
4705.882352941177	1030683314.5789573	56681573.56533174	5384925.833434583
4901.9607843137255	929815764.1842917	74226439.88928092	6398838.313488897
