[N II] Delta T	T1	T2	T3
-4901.9607843137255	12147237.428614534	3345876.9597438937	35688126.25315965
-4705.882352941177	10599999.91690683	3744966.600270044	25279942.25463288
-4509.803921568628	2851820.3269548425	13828778.88794324	15197000.060901482
-4313.725490196079	3814624.7494623726	6596516.161564758	29202006.46535352
-4117.64705882353	9345220.920708008	9110646.603845555	38964435.982233055
-3921.5686274509803	9851256.37601702	2162372.2240754277	31488746.503153685
-3725.490196078431	16559531.96881217	7235678.412508723	13444754.321234923
-3529.411764705882	17347791.84937738	8554141.657104896	18264950.233524658
-3333.333333333333	29908948.889125843	2749570.0473064184	59677546.04030019
-3137.254901960784	34850364.26022134	12887371.604637504	31353144.807595458
-2941.176470588235	25889809.434731275	6079822.15767688	19890937.72460114
-2745.098039215686	44875402.04131153	14672481.353392415	39148959.35995203
-2549.0196078431372	61668728.44299909	20374774.437454596	64032721.576992266
-2352.9411764705883	84190503.7938059	20271809.323453993	63532302.838574015
-2156.862745098039	155971734.0752511	36870701.41178718	84648959.74158566
-1960.78431372549	223075190.35755035	61032197.77414409	142584478.5667199
-1764.705882352941	328833277.7417848	96420191.56472827	153384597.4173963
-1568.627450980392	533768324.8444196	145758110.2823956	139310773.09194395
-1372.5490196078429	753389159.5240674	311149623.4521141	268929032.84789026
-1176.4705882352937	1140458953.0891297	490435769.1820047	440433650.7251197
-980.3921568627447	1630531052.9751053	977460343.8737533	822510214.3717273
-784.3137254901958	2261807340.474333	1764559162.1607587	1181939179.2436883
-588.2352941176468	2826655816.4006705	3002942946.9603333	2373758541.0160465
-392.1568627450979	3380148965.705157	4687372681.022599	4280239446.335792
-196.07843137254895	3882485914.0570345	6191298414.836936	5969700698.217046
0.0	4000464074.870732	6639093672.857522	7417376565.87532
196.0784313725494	4075822917.345135	5758196534.199018	6330413233.1348915
392.1568627450988	3432486526.9997263	3949368673.3763094	4093509234.9808345
588.2352941176478	2859524106.788446	2746953945.965051	2414894764.1208267
784.3137254901967	2182753588.168628	1578420662.6928422	939451104.9116582
980.3921568627457	1604146600.465322	664023538.568663	385408138.9468618
1176.4705882352946	1098005807.3452532	285063745.34060764	242416402.36854684
1372.5490196078435	696629334.3957599	161662259.2033255	133437692.88779636
1568.6274509803925	457690265.0572332	78450192.63339272	76416769.86633226
1764.7058823529414	296362422.5402561	23762561.47080571	25777627.36493652
1960.7843137254904	170465927.90102032	17340051.394406803	42960452.471585765
2156.8627450980393	126912854.79434443	3714699.0222383854	30555816.747284118
2352.9411764705887	51414528.20154086	0.0	15662009.477916656
2549.019607843138	32699671.59633541	2021690.3219280157	25401553.147136915
2745.098039215687	24678207.697194338	0.0	17706561.293150857
2941.176470588236	13972113.563401071	2819506.410391334	16971138.344047442
3137.254901960785	5062395.335268734	1862661.6448609158	36024544.69778593
3333.333333333334	3085821.5553685008	0.0	4778015.849203992
3529.411764705883	6465193.030953244	0.0	13334963.938311365
3725.490196078432	3106438.352117867	0.0	4280961.348760683
3921.568627450981	0.0	0.0	0.0
4117.64705882353	1000621.9306503056	0.0	0.0
4313.725490196079	2827644.6369245346	0.0	0.0
4509.803921568628	2179070.8335251296	0.0	19374664.21595019
4705.882352941177	4226313.613140607	0.0	5457153.132472056
4901.9607843137255	4125837.458016928	0.0	4798290.8459459115
