Count	Y Median	X Center	X Mean	Y Lower Quartile	Y Upper Quartile	Y Std	Y Mean
1146	267.480590580496	3.6216678344652173	3.6221726602675126	-1580.1085992182661	2198.5545193237303	2504.3602036502393	274.6944371628536
1342	273.7196958231243	3.660883520739727	3.6613865740766345	-1571.5714611205863	1906.1200555522112	2403.3919968924697	193.57186701977764
1711	186.49399988778532	3.700099207014237	3.7004382629119617	-1651.4644473326343	1998.831149621522	2425.4632045669046	147.89134535363831
2079	182.69617190774989	3.7393148932887468	3.7399990029646393	-1508.7425677375813	1953.4150777918048	2391.573449100525	158.8846714040065
2594	243.73166580372072	3.778530579563257	3.778954862467195	-1559.8870795518515	1917.0974107292716	2419.7244318834228	180.5512766087418
3241	285.5429979450055	3.8177462658377666	3.818667303830016	-1420.9216142913656	1955.421675314683	2345.972561293784	252.13675682293075
4095	278.62636236661456	3.856961952112276	3.8577972929113553	-1379.2993555318171	1899.083914067391	2323.736352468533	240.82723573594427
5051	207.94289020453652	3.896177638386786	3.896686479917676	-1503.566281950195	1868.6487794279592	2342.027354997999	158.52984406635287
6335	195.87888427917642	3.9353933246612955	3.9361340487609477	-1422.3511336674283	1791.5374973717858	2292.2761213092	191.2486178541905
8142	151.99383248402137	3.9746090109358057	3.9752567005050587	-1401.0568068219527	1724.397871997122	2226.9955735886506	143.25995053140525
10423	275.200385430242	4.013824697210316	4.014739045403541	-1222.3551008474155	1769.3215242934075	2197.240915985584	227.46221718115808
13467	237.68076489343548	4.053040383484825	4.053781805293053	-1203.9492243898703	1687.620491048644	2141.512098829682	210.53242987786274
17268	214.0918221260713	4.092256069759335	4.093180748951558	-1160.2172534427095	1586.5513876226096	2077.319326740233	204.19254751737915
22648	214.64347382012693	4.131471756033845	4.132353267336847	-1079.2767030390569	1519.4275653974232	2017.1598338863403	195.67402971249064
29009	192.7092672429426	4.170687442308354	4.171539129690491	-1049.7273640451922	1449.5982374671626	1942.1211992486687	190.1545075093699
37886	203.01517693187088	4.209903128582864	4.210780064002047	-985.6798203191202	1399.306020939986	1900.6899291010895	191.82657630319645
47720	183.9582135271794	4.249118814857374	4.249857220765356	-969.9208878225454	1321.5286858452143	1834.0833774601397	169.3284238438497
58430	170.82726261842072	4.288334501131884	4.288956866171415	-923.7945713694967	1277.279836482286	1782.4702563699775	168.88385406278383
69656	163.8778405426783	4.327550187406394	4.328044969765504	-881.793068095325	1209.307738196339	1718.4186998553944	155.2205959339472
78637	156.99065763026738	4.366765873680904	4.367077867133512	-846.6778878045061	1153.382922101744	1668.050789909943	143.09132768541681
85697	127.51114466539548	4.405981559955413	4.406177214253148	-839.3169504657762	1078.9098913862053	1622.8563820432005	117.11316687332713
89719	118.61819352647217	4.445197246229924	4.445243954638124	-790.3470128269282	1033.0746043388326	1563.393868204893	113.53120214541818
91867	103.21540792384621	4.4844129325044335	4.484443595955114	-773.3894525595442	973.194418863473	1507.08186165514	91.34921214133992
91918	85.95275726395448	4.523628618778943	4.523586653782651	-747.7194036453261	922.2404914317101	1460.5328251242302	77.59611235574958
89423	80.44723664214871	4.562844305053453	4.562701399158603	-720.033181383953	875.383412595108	1407.9170696418935	73.50490095130193
85080	78.8773372470232	4.6020599913279625	4.601897102256979	-692.5011791253346	844.7440283733251	1371.0517003215562	64.02972020026492
78656	56.256911819430115	4.641275677602472	4.64096031086871	-691.4891901260312	792.2953349413788	1334.6016188429658	41.0104208896222
70946	58.14515074055225	4.680491363876982	4.680110876541613	-655.1435403907105	765.1531157470065	1279.235165786322	47.160765037046836
63593	39.62512669115313	4.7197070501514915	4.719470517666626	-631.2861803026826	695.5936351436612	1207.8740095786875	17.313079236882817
60890	33.54788894049807	4.758922736426001	4.758887051190186	-591.1307604709714	650.247307797001	1128.899464761828	17.59904427515274
63275	22.893164863568018	4.798138422700512	4.798345477247433	-574.7016249861399	605.29085045999	1053.5561610406478	2.041751678854198
65897	12.135999789588823	4.837354108975021	4.837457892670047	-553.7642853761354	557.9229502837097	981.0786233977067	-13.93971773224071
69031	10.483114484419275	4.876569795249531	4.876668974545356	-515.6751873452586	530.8786597268081	937.2886382408815	-9.29224901667942
72261	7.907130673105712	4.915785481524041	4.91594730159714	-500.61567438740167	507.7382609289598	896.0901322629646	-12.17579402142889
72530	-3.5831404078298874	4.955001167798551	4.954973101726594	-494.0084279943296	474.4322772388491	875.2006018995241	-22.80023069720036
71412	4.550292848512981	4.994216854073061	4.994194250602209	-476.0306361298176	481.22397966467315	871.1295905428824	-15.037685938121399
73532	-5.167764859169438	5.033432540347571	5.0336054720335515	-469.8195174471364	454.61441068439126	849.8698074475237	-21.65168990814215
72548	0.010707764199651137	5.07264822662208	5.072443871315194	-449.5633304040382	444.5082615732349	822.0615944614403	-16.15105236545732
66405	-6.511012042552466	5.11186391289659	5.1114463447200675	-437.4301152519456	408.95805453896173	788.2844805309178	-26.015902446080524
61287	-6.129946793502313	5.1510795991711	5.150829926090042	-408.92667749403836	390.1486628123557	748.7390898821131	-20.764340691368343
54111	-15.515760027928991	5.190295285445609	5.189770992685939	-399.03785062136467	362.5519292074996	712.547004292882	-30.705262210779892
45605	-12.63985379436599	5.229510971720119	5.228931048360949	-385.96156105700175	361.518404898723	689.1315174056585	-26.66189834097136
35772	-14.607208952661495	5.268726657994629	5.267803507054465	-375.5920834607882	332.6134372552938	672.41811140836	-34.62566359688304
24822	-20.645145231638708	5.307942344269139	5.3066781911469745	-363.9735259868173	306.4043714246741	650.6629904102984	-37.30939380953677
17691	-9.980655286690308	5.347158030543649	5.346263760520885	-343.23556324090987	305.9201769015626	635.614267379638	-34.95196999011074
14160	-20.057495155660945	5.3863737168181585	5.385555613479427	-360.2141308559485	299.361651919653	636.0948707124635	-52.7528145176177
10226	-17.002246627791465	5.425589403092668	5.42418100229376	-356.9422127156711	303.6991584712214	652.0009794494794	-47.401318951834746
5797	-26.462741058347092	5.464805089367179	5.46283592136645	-351.7829745515246	292.51363402989045	623.8289484228259	-58.53298553522654
2743	-21.977870523718593	5.504020775641688	5.500958025592965	-325.3279758783874	268.3285108387463	650.2369332230551	-55.4322674293449
862	-18.98588465018929	5.543236461916198	5.538719937252518	-355.41421753191935	278.72447192241407	745.2817181910937	-54.35173509121736
283	-2.351379429397639	5.582452148190708	5.580574257361519	-351.81424153908756	362.436838661547	971.1979801139677	-18.010879200561988
