[S III] Delta T	T1	T2	T3
-4901.9607843137255	338254328.969605	278693821.19639826	186727855.2046454
-4705.882352941177	272044229.6598165	237906424.70589557	230172836.64551407
-4509.803921568628	277044926.1183988	179336669.62776807	196512242.9971304
-4313.725490196079	237589133.2850419	95045321.65940583	151482932.0763889
-4117.64705882353	163601644.5453567	84511032.97216961	134297933.76732025
-3921.5686274509803	138655678.15863276	63343620.08836435	106453523.91103703
-3725.490196078431	78669011.17169164	63861870.28286165	23681313.747771006
-3529.411764705882	115094294.2458568	79750723.29914531	37513622.70266757
-3333.333333333333	90510099.12314679	96474167.09076177	49688847.01542018
-3137.254901960784	85470091.56871717	86707693.74470343	90821538.48219979
-2941.176470588235	123194675.10552277	97859848.6446388	23560772.74730061
-2745.098039215686	143182717.91917324	117900430.80961628	106680312.28522173
-2549.0196078431372	158226639.9097344	89012877.7366381	171713130.15442824
-2352.9411764705883	113745069.99433261	69307470.40019044	32622521.69279915
-2156.862745098039	200431363.28156972	102061258.91548309	152223331.51007134
-1960.78431372549	225098704.71879506	148370913.533468	55496279.441670075
-1764.705882352941	224140666.85894564	197021269.76691258	98396065.21148926
-1568.627450980392	335345970.811827	131362249.6145152	264244451.20531172
-1372.5490196078429	403009949.8726504	220680610.23695886	203203479.79673716
-1176.4705882352937	686457775.6556213	202757480.7335972	299448853.50480527
-980.3921568627447	1681397783.506176	473246105.9467646	310006291.33841646
-784.3137254901958	4488256431.540096	1455259376.866807	1260307636.9980369
-588.2352941176468	12047694199.409504	4470949363.837963	4180882171.5596814
-392.1568627450979	36711198076.38424	17640110668.322983	12664632305.403076
-196.07843137254895	108965896781.6632	119231945380.06459	102172587404.57518
0.0	175808805383.40283	278576299587.1345	313893588392.2202
196.0784313725494	105246506557.81819	111527312460.20686	95529758695.23964
392.1568627450988	36282405113.04165	13950315790.519444	8198826112.042499
588.2352941176478	15111379008.101814	4058982397.1745567	2211862857.372943
784.3137254901967	8994291503.517618	2334596712.749602	809996768.0969224
980.3921568627457	6691152913.660983	1416588712.2402508	420439722.8630908
1176.4705882352946	6201783684.799178	1030704735.7136843	139203226.8683762
1372.5490196078435	5242978506.512009	901769036.9438752	136836041.34173888
1568.6274509803925	4737358772.690192	699436745.2030994	143993516.09349662
1764.7058823529414	3947746557.007153	527599156.58345866	116204591.10440256
1960.7843137254904	2885937706.8507185	340925173.9254997	196217726.7544541
2156.8627450980393	2114504870.1569238	283969705.2383522	111120168.93684998
2352.9411764705887	1261147531.5536282	159679029.9627905	73555976.83932848
2549.019607843138	853553878.9544388	73666035.2431725	128093912.39363644
2745.098039215687	539398580.9948288	121193264.58046511	107394783.54547301
2941.176470588236	421837681.03766274	171887233.14745116	45537623.04915141
3137.254901960785	291987275.85194886	55125138.536029555	39265897.40426479
3333.333333333334	201399041.98104095	70870642.224799	93272037.76199593
3529.411764705883	114685211.52249734	32777650.65393292	40422987.19901857
3725.490196078432	122473179.30655321	8740271.366787093	31739283.172527626
3921.568627450981	72807604.67512104	24319761.797286563	57474727.72894887
4117.64705882353	101750560.92163646	21973206.88911713	80279099.99967363
4313.725490196079	117067458.63997915	51674105.96031158	137221099.67211762
4509.803921568628	125683081.48678504	100169150.21933106	54652819.123860426
4705.882352941177	157810145.4723305	132595253.60841842	67260325.93672769
4901.9607843137255	176610998.61035743	89158734.86533669	55000596.768276595
