[S III] Delta T	T1	T2	T3
-4901.9607843137255	22085225.320148706	13033023.90738124	21625858.69290205
-4705.882352941177	16175232.587348642	9583556.147847388	16440030.223548245
-4509.803921568628	16827117.826679442	12093051.82836197	7110224.3800227605
-4313.725490196079	2511186.5725097936	2177310.2727234955	27839706.980238535
-4117.64705882353	3753284.995946532	4224058.657234089	6483840.590250624
-3921.5686274509803	7417910.557992967	4961062.330194154	19514369.311798926
-3725.490196078431	6337089.679816503	2639558.932827236	11260552.866085391
-3529.411764705882	3241975.477181086	6836925.244031282	7163573.073980169
-3333.333333333333	4491405.096238147	3552150.45882921	19184930.242452696
-3137.254901960784	6016177.011509749	10667566.716155473	3363944.4812221066
-2941.176470588235	10565418.769868772	10269639.528812718	7532575.473369875
-2745.098039215686	9322709.161025107	13724684.073205967	15043103.36089275
-2549.0196078431372	6417501.679041464	4349691.161612303	7014554.200675294
-2352.9411764705883	6650369.345539572	6228568.068990148	21236472.125995047
-2156.862745098039	10866886.953854341	13873979.215470383	19577730.59712229
-1960.78431372549	6743267.074301545	24964999.299882125	11585013.537524315
-1764.705882352941	8140156.162345992	17200457.811761737	15809354.938339388
-1568.627450980392	11093894.50275575	15724986.232816588	32813728.176468607
-1372.5490196078429	8398625.532684278	19807209.277012534	23145178.612307217
-1176.4705882352937	43346909.99096462	34533019.21837298	75903402.76076177
-980.3921568627447	116765939.0963679	81295105.5983621	121626024.56112432
-784.3137254901958	333198020.1979029	240331035.969184	192317305.485871
-588.2352941176468	835720838.8529578	675028450.8017786	522081250.4023923
-392.1568627450979	2148617950.738637	2048907033.669993	1598940825.263309
-196.07843137254895	3913538673.531777	4605604897.812875	4444360227.03001
0.0	5241541989.4809885	6376492279.772855	7287790261.598259
196.0784313725494	3998392946.166015	4532270096.8222065	4688673810.401221
392.1568627450988	2163918080.9251356	2046784032.5840743	1658194146.573449
588.2352941176478	996657622.1762562	715911849.7371889	471896040.76017016
784.3137254901967	461610546.5460034	279741981.71250427	194667578.55775818
980.3921568627457	290960658.0380206	163956690.31292394	88840678.18187726
1176.4705882352946	224634478.29698062	109639955.58941545	52828633.37131145
1372.5490196078435	207098088.15864652	88683401.1011071	47659298.63853851
1568.6274509803925	185363724.56053594	100478069.37075087	21846308.168246154
1764.7058823529414	158311160.31348914	85321424.64639992	46507735.82455786
1960.7843137254904	127030211.90076923	50895902.88008529	0.0
2156.8627450980393	111460533.40678528	42796008.47599839	17607026.294793822
2352.9411764705887	73868276.06952828	43481468.95886366	40082966.91655518
2549.019607843138	58018144.58203503	25945033.851974897	26769421.991455134
2745.098039215687	41475106.1388145	16282097.31213146	25335969.418880604
2941.176470588236	19870060.726397872	21114258.145857196	15455209.283709954
3137.254901960785	14503882.093188263	13021483.657219607	3145079.965431915
3333.333333333334	7554178.428578234	10135874.614268985	11646773.426516782
3529.411764705883	2983625.9331623716	14434060.352428824	0.0
3725.490196078432	8680759.111931443	2863447.278983994	14860099.320217473
3921.568627450981	10007946.548681416	4810936.175053509	0.0
4117.64705882353	5159745.805217747	4951152.67429106	3575587.2137727174
4313.725490196079	6872168.491869098	15860454.176082335	3148825.188224471
4509.803921568628	8272610.199307619	9004961.78166113	10861433.572980538
4705.882352941177	13098581.243495658	8944714.790346313	6778452.212359207
4901.9607843137255	13021382.129038285	9075540.273576029	24956297.146585073
