[S II] log10 (N' / N)	T1	T2	T3
-1.4705882352941178	15915.607392740189	0.0	0.0
-1.4117647058823528	35198.156472155184	0.0	0.0
-1.3529411764705883	19432.075677867382	0.0	0.0
-1.2941176470588234	0.0	0.0	0.0
-1.2352941176470589	21581.10536361189	0.0	0.0
-1.176470588235294	0.0	0.0	0.0
-1.1176470588235294	106712.1570949998	0.0	0.0
-1.0588235294117647	379610.65701606043	175128.21594314423	380396.5356385775
-1.0	337504.9989125422	0.0	0.0
-0.9411764705882353	364720.4094248914	0.0	484789.7144465274
-0.8823529411764706	356262.8606111977	0.0	1214623.7801483078
-0.8235294117647058	1568570.062513454	0.0	2132293.6990128187
-0.7647058823529412	2564468.6162121505	0.0	757241.8114661141
-0.7058823529411765	5741895.864150535	824522.8764379036	3992962.068550272
-0.6470588235294118	10438228.363561423	588870.4843090496	3662266.1062239567
-0.5882352941176471	19089792.17101036	0.0	5747633.362146383
-0.5294117647058824	37325429.68177756	1548789.3695469014	8938258.337619085
-0.47058823529411764	65740791.599777386	3054704.619392552	15075072.123636974
-0.4117647058823529	126078943.86914429	7538733.258861622	33728215.72540375
-0.3529411764705882	259637830.06315354	31871586.66266926	72032235.48425315
-0.2941176470588235	594620643.7392578	133618242.16427808	241535506.7280304
-0.23529411764705876	1559903021.1033168	645199992.3963642	775052024.8856652
-0.17647058823529405	4226529437.012323	2910330231.7303596	2697432990.814671
-0.11764705882352944	10591179547.78746	10414213511.050585	8943534719.123913
-0.05882352941176483	20675876302.452812	24803222527.322685	24083979558.99739
-1.1102230246251565e-16	26856524564.130604	33264819950.69302	35741264994.432915
0.05882352941176461	21708399724.563618	22984358299.626137	20993116562.198227
0.11764705882352933	11480850053.862465	9641923149.963032	7718001087.183135
0.17647058823529405	4790026467.607001	3199086096.8349857	2820600722.208504
0.23529411764705876	1876682746.9271505	1069233993.2533028	1164055214.9339466
0.2941176470588235	803473198.6948107	386745627.15592325	548666335.3828533
0.3529411764705882	399848820.7855639	173957881.81142086	287154246.7787744
0.4117647058823529	220235310.6492913	90693716.4096689	168710744.03757906
0.47058823529411764	133319081.49887246	52494347.15369031	104453857.62942041
0.5294117647058822	86704660.6171811	35757853.56567297	73560270.72923562
0.588235294117647	55851860.770661764	22367565.379167452	50742530.707210556
0.6470588235294117	37760577.28983136	18764947.58415823	36753508.180333756
0.7058823529411764	23102213.16944812	10429647.960507054	27460244.050531197
0.7647058823529411	16058419.20142103	8691708.309622243	17439448.26066546
0.8235294117647058	9628117.34120873	5180200.985432108	18503552.31700758
0.8823529411764706	6198015.6081034485	3414769.061476039	16152659.86262408
0.9411764705882353	4025356.93611831	3692549.7171195243	10187497.66440879
1.0	3348463.708046767	1556722.745640481	4653414.54090923
1.0588235294117647	2222820.0982822035	588091.6690798568	3406269.75263219
1.1176470588235294	1742262.7956716653	2162767.5341460705	1669481.5927208525
1.1764705882352942	1041177.289721996	807833.0511222519	288870.6910867619
1.2352941176470589	526093.2474004574	208963.73082967923	300902.12819332036
1.2941176470588234	393183.51406163943	614979.4565799384	282228.8586240513
1.352941176470588	570128.1957942536	345522.5911105472	0.0
1.4117647058823528	210378.05221818713	0.0	0.0
1.4705882352941175	184275.18013389956	0.0	0.0
