T([N II])	T1	T2	T3
5098.0392156862745	0.0	0.0	0.0
5294.117647058823	0.0	0.0	0.0
5490.196078431372	0.0	0.0	0.0
5686.274509803921	0.0	0.0	0.0
5882.35294117647	0.0	0.0	0.0
6078.431372549019	0.0	0.0	0.0
6274.509803921568	0.0	0.0	0.0
6470.588235294118	0.0	0.0	0.0
6666.666666666667	0.0	0.0	0.0
6862.745098039216	0.0	0.0	0.0
7058.823529411765	0.0	0.0	0.0
7254.901960784314	0.0	0.0	0.0
7450.980392156863	0.0	0.0	0.0
7647.058823529413	0.0	0.0	0.0
7843.137254901962	10103882564.0	0.0	0.0
8039.2156862745105	67841220736.0	8816710016.0	0.0
8235.29411764706	70077795376.0	14568365264.0	0.0
8431.372549019608	48470764280.0	9168605888.0	0.0
8627.450980392157	91685369128.0	53338156704.0	7840050368.0
8823.529411764706	179087986640.0	12028534400.0	24250517792.0
9019.607843137255	190642682658.0	124360444256.0	129533851936.0
9215.686274509804	122532352940.0	210874182928.0	137357044096.0
9411.764705882353	41779465560.0	151804161056.0	57327740000.0
9607.843137254902	17267941536.0	166836693376.0	106839014016.0
9803.921568627451	7640121568.0	56597539296.0	37320209088.0
10000.0	0.0	38470200800.0	84796078176.0
10196.078431372549	0.0	6898671424.0	62487194432.0
10392.1568627451	0.0	12926796096.0	39218707136.0
10588.235294117649	0.0	6243811072.0	52807083136.0
10784.313725490198	0.0	0.0	26249677824.0
10980.392156862747	0.0	0.0	24889390464.0
11176.470588235296	0.0	0.0	25492866112.0
11372.549019607844	0.0	0.0	20470027648.0
11568.627450980393	0.0	0.0	0.0
11764.705882352942	0.0	0.0	0.0
11960.784313725491	0.0	0.0	0.0
12156.86274509804	0.0	0.0	0.0
12352.94117647059	0.0	0.0	0.0
12549.019607843138	0.0	0.0	0.0
12745.098039215687	0.0	0.0	0.0
12941.176470588236	0.0	0.0	0.0
13137.254901960785	0.0	0.0	0.0
13333.333333333334	0.0	0.0	0.0
13529.411764705883	0.0	0.0	0.0
13725.490196078432	0.0	0.0	0.0
13921.56862745098	0.0	0.0	0.0
14117.64705882353	0.0	0.0	0.0
14313.725490196079	0.0	0.0	0.0
14509.803921568628	0.0	0.0	0.0
14705.882352941177	0.0	0.0	0.0
14901.960784313726	0.0	0.0	0.0
