T([N II])	T1	T2	T3
5098.0392156862745	0.0	0.0	0.0
5294.117647058823	0.0	0.0	0.0
5490.196078431372	0.0	0.0	0.0
5686.274509803921	0.0	0.0	0.0
5882.35294117647	0.0	0.0	0.0
6078.431372549019	0.0	0.0	0.0
6274.509803921568	0.0	0.0	0.0
6470.588235294118	0.0	0.0	0.0
6666.666666666667	0.0	0.0	0.0
6862.745098039216	0.0	0.0	0.0
7058.823529411765	0.0	0.0	0.0
7254.901960784314	0.0	0.0	0.0
7450.980392156863	0.0	0.0	0.0
7647.058823529413	0.0	0.0	0.0
7843.137254901962	0.0	0.0	0.0
8039.2156862745105	0.0	0.0	0.0
8235.29411764706	0.0	0.0	0.0
8431.372549019608	0.0	0.0	0.0
8627.450980392157	0.0	0.0	0.0
8823.529411764706	0.0	0.0	0.0
9019.607843137255	0.0	0.0	0.0
9215.686274509804	901170790.140625	0.0	0.0
9411.764705882353	7170462793.050781	0.0	0.0
9607.843137254902	14909364701.109375	331316996.7734375	0.0
9803.921568627451	12532014200.65625	2887345743.6953125	0.0
10000.0	2283647828.890625	5584892719.125	1305592630.46875
10196.078431372549	1100381947.15625	6785194955.7734375	2017625823.328125
10392.1568627451	0.0	8222432163.78125	4051318752.0
10588.235294117649	0.0	5270314774.328125	2586439360.9375
10784.313725490198	0.0	11674687604.109375	0.0
10980.392156862747	0.0	0.0	4154485600.0
11176.470588235296	0.0	0.0	9397986192.0
11372.549019607844	0.0	0.0	3588018502.125
11568.627450980393	0.0	0.0	10709785680.0
11764.705882352942	0.0	0.0	0.0
11960.784313725491	0.0	0.0	0.0
12156.86274509804	0.0	0.0	0.0
12352.94117647059	0.0	0.0	0.0
12549.019607843138	0.0	0.0	0.0
12745.098039215687	0.0	0.0	0.0
12941.176470588236	0.0	0.0	0.0
13137.254901960785	0.0	0.0	0.0
13333.333333333334	0.0	0.0	0.0
13529.411764705883	0.0	0.0	0.0
13725.490196078432	0.0	0.0	0.0
13921.56862745098	0.0	0.0	0.0
14117.64705882353	0.0	0.0	0.0
14313.725490196079	0.0	0.0	0.0
14509.803921568628	0.0	0.0	0.0
14705.882352941177	0.0	0.0	0.0
14901.960784313726	0.0	0.0	0.0
