Y Median	Y Upper Quartile	Y Lower Quartile	Count	X Mean	Y Std	X Center	Y Mean
nan	nan	nan	0	nan	nan	3.6216678344652173	nan
nan	nan	nan	0	nan	nan	3.660883520739727	nan
6689.190832105012	6689.190832105012	6689.190832105012	1024	3.7189189544405967	9.094947017729282e-13	3.700099207014237	6689.190832105013
7341.148245574976	7756.993571729401	6925.302919420549	2048	3.7321759241698973	415.84532615442595	3.7393148932887468	7341.148245574974
7581.9660544024155	7589.244902775685	7375.146793145487	3072	3.7716956635951244	99.25566818839711	3.778530579563257	7515.452583441193
7515.988385742877	7641.581891077143	7366.745013961111	6144	3.807509024785903	255.6150463360967	3.8177462658377666	7564.098129793981
7672.478821454428	7919.7520499222055	7668.129814658539	3072	3.8558701265568076	117.60419146728884	3.856961952112276	7753.453562011723
7720.49311930353	7871.516584302984	7632.0134783303265	12288	3.8947462040828094	175.98060548913816	3.896177638386786	7765.02513837066
7901.292791102057	7943.812009682288	7745.336778859566	9216	3.9301037323401187	131.60968522350242	3.9353933246612955	7843.955827732545
7852.118759667797	7993.621036770293	7772.015356722405	10240	3.975159846181324	195.40886674285557	3.9746090109358057	7861.2294429595495
7921.7269379858935	7957.974122412811	7728.036315959972	14336	4.02038915712822	194.85679882750523	4.013824697210316	7876.057273843017
7929.199292793248	7996.241499957137	7827.9057033551	16384	4.052621277526349	107.21073563379048	4.053040383484825	7917.6960197914805
7953.792632557429	8069.941580877506	7880.361858465354	15360	4.095622611900085	161.09634943319676	4.092256069759335	7953.868138066277
8009.148369571044	8077.326067242416	7969.117055789579	17408	4.1331121040884735	119.80400528792146	4.131471756033845	8012.526505460497
7962.733503763593	8037.225734322164	7913.570882280618	28672	4.172085574142994	113.76296249390991	4.170687442308354	7965.401354999413
7989.800186106434	8060.789248046579	7917.271048478	58368	4.2125189586811995	149.5087161285711	4.209903128582864	7971.449619145635
7958.237457685741	8061.067037253469	7847.25396572382	86016	4.250477157811257	158.85175374428132	4.249118814857374	7956.317794477236
7979.20463722184	8078.016681229688	7828.000173002229	87040	4.287168821695421	162.42704482497066	4.288334501131884	7967.106322247632
7936.035042260162	8068.064336311761	7801.653120747788	124928	4.326224884224259	158.95313294487457	4.327550187406394	7943.5580259975695
7987.864709445946	8132.802530624264	7860.8510874836875	120832	4.366005927906329	153.45309549314058	4.366765873680904	7995.78884332069
7965.602061588389	8111.71124010028	7869.30921130284	115712	4.406745331747242	151.27986955116492	4.405981559955413	7989.69319576652
7988.924881425201	8098.279463002003	7914.061673575317	113664	4.442846131027306	144.84107700578835	4.445197246229924	8019.698146360902
8034.321183140371	8152.742788739513	7937.3810742232245	115712	4.483519870123702	146.79968456970815	4.4844129325044335	8043.544001666969
8066.653004756215	8179.595845900097	7957.763048023269	109568	4.524907084994212	149.79575534977087	4.523628618778943	8080.667649854202
8081.461546650589	8202.58746329291	7977.063057991421	112640	4.561389437694418	175.38957048235582	4.562844305053453	8074.428116940885
8138.242885566091	8229.150637253995	8055.8998846890545	94208	4.6004113527131585	128.65424525082923	4.6020599913279625	8140.606865719214
8149.47960476819	8228.328259347742	8065.8029487926415	100352	4.638793408324936	128.20996213197577	4.641275677602472	8144.718907548991
8150.241516171011	8257.576206580095	8072.275923951448	66560	4.67753864608519	133.45484479071737	4.680491363876982	8150.554709181687
8206.148063416436	8302.275172627635	8131.964419144881	64512	4.719029846361672	111.29296198619723	4.7197070501514915	8211.509471274097
8197.143481392315	8262.521844878349	8135.277888505706	64512	4.757855580228821	109.1054711484525	4.758922736426001	8212.564531073951
8224.744885273467	8277.739204891384	8165.115453454575	65536	4.79873528777511	94.56300529729678	4.798138422700512	8222.471211547432
