log10[ N([Cl III]) ]	T1	T2	T3
2.0294117647058822	111433624.58154297	13683065.03125	0.0
2.0882352941176467	127153609.93457031	30681177.1015625	0.0
2.1470588235294117	157801486.55664062	32207007.671875	0.0
2.2058823529411766	154244465.7109375	23781286.9921875	0.0
2.264705882352941	217905067.7397461	36078681.828125	0.0
2.3235294117647056	236720587.35253906	70449436.5390625	0.0
2.3823529411764706	266068832.67529297	53861589.546875	0.0
2.4411764705882355	312007718.875	85640774.9140625	7925500.796875
2.5	358819522.3286133	94431279.84375	0.0
2.5588235294117645	465756871.3671875	99765932.5625	0.0
2.6176470588235294	461393596.30371094	95182196.265625	2615362.71875
2.6764705882352944	538258931.0917969	148318046.6171875	11344339.53125
2.735294117647059	587414165.0654297	179299170.875	16557273.625
2.7941176470588234	732243068.6435547	211870947.0859375	15431325.078125
2.852941176470588	825242192.9746094	314542060.421875	20767834.46875
2.9117647058823533	915820785.6547852	345328285.2265625	16691154.359375
2.9705882352941178	1080985642.2509766	544197197.015625	42730572.6640625
3.0294117647058822	1213586444.895996	585039008.578125	62713077.625
3.0882352941176467	1395707563.0859375	723755678.546875	105186310.203125
3.147058823529412	1554639777.6660156	1014995690.875	119050729.40625
3.2058823529411766	1769437564.2004395	1260454334.015625	258816011.953125
3.264705882352941	1901916006.4509277	1587985770.5546875	351195128.953125
3.3235294117647056	2102769404.859375	2051991637.5234375	448493476.3125
3.3823529411764706	2307239782.7197266	2580335365.0546875	806507752.609375
3.4411764705882355	2490518409.8618164	3014115163.4296875	1172729094.53125
3.5	2460526965.4611816	3596407482.8203125	1645942970.59375
3.5588235294117645	2498808757.407959	3780695170.96875	2242622258.640625
3.617647058823529	2539184003.7365723	4142414614.1953125	2925412499.265625
3.6764705882352944	2481441577.397217	3907661322.78125	3642100307.625
3.735294117647059	2262980169.7194824	3877130975.984375	4126202690.46875
3.7941176470588234	2144316489.7282715	3310527025.109375	4619241974.6171875
3.852941176470588	1933227359.6845703	3151782971.5820312	4675821944.5625
3.9117647058823533	1627539842.8198242	2375272073.3398438	4563567860.0078125
3.9705882352941178	1374776884.6982422	1838356519.2929688	3955296511.8046875
4.029411764705882	1214869750.6523438	1475435619.8515625	3367015320.0390625
4.088235294117647	990262552.0900879	1042819195.8476562	2690816623.546875
4.147058823529411	896944749.9196777	749715898.40625	2112835367.609375
4.205882352941176	766005871.7719727	583151407.4453125	1475460090.7265625
4.264705882352941	626502466.588501	398392816.1171875	1107984472.234375
4.3235294117647065	521141736.1220703	288994952.546875	636462597.3515625
4.382352941176471	406994638.85546875	198861738.91796875	600261681.9296875
4.4411764705882355	364880841.9020996	110410237.5234375	397344644.0703125
4.5	298818817.13623047	122896993.578125	181213159.0625
4.5588235294117645	274367134.18310547	89786534.33203125	180094314.75
4.617647058823529	223770439.34277344	68931735.953125	129888710.578125
4.6764705882352935	184190791.68579102	44489293.40625	94706742.640625
4.735294117647059	166498198.16381836	36930749.97265625	25856555.3671875
4.794117647058823	143158328.11645508	16796065.26171875	73337958.53125
4.852941176470589	106799234.00585938	16749508.57421875	25050881.765625
4.911764705882353	101126196.76757812	23608532.234375	9341752.015625
4.970588235294118	89409350.64916992	19626757.08203125	19323034.96875
